"","vpdphy","mpdphy","sespd_cha$pd.obs.z","vpdfunc","mpdfunc","sespdfunc_cha$pd.obs.z","riq"
"6070250270",1462.74821932507,146.195011190476,0.788589133338088,0.340179887916984,2.81648853914875,-0.755072209859626,21
"6070253240",1594.05014357636,147.688724409091,-0.151509253844643,0.424255788742172,2.77610635719967,-0.770139930977702,12
"6070258770",1660.12103463886,148.100242325584,-0.962230027378688,0.279702567036565,2.84724536906021,0.430015142591441,127
"6070264790",1697.2292590042,153.809912462293,0.76669447739274,0.269964946629614,2.83790201162041,0.403233495442973,52
"6070271360",1485.9215005812,148.659042708899,0.318511870020874,0.313334831377432,2.82308844101121,-0.825757370648612,52
"6070271680",2321.75448796752,140.80301943956,0.641892911355166,0.428404362841419,2.7454357511895,-0.82111581657178,14
"6070279510",1298.29775224873,148.726891352941,0.723246466039961,0.195426056146658,3.00384415499525,1.28093383194305,17
"6070281220",2109.85598761376,143.363959309091,-0.872833343831708,0.254817459984727,2.74559026099327,-0.229142600642379,11
"6070281230",2516.56365931417,127.303253410256,-1.47159860502726,0.485515093749998,2.65950529655795,-1.32672792334719,13
"6070288960",1896.32539886923,141.311825869841,-1.42447371190371,0.35238543188119,2.78492119058296,-0.474922439582469,36
"6070288970",2220.86766724792,137.300611802151,-1.02636532071059,0.275879028121217,2.86182300293247,0.739658456857032,31
"6070295870",2349.0702157368,136.430438526316,-1.07857308268548,0.378100916297924,2.73950907926521,-0.707833256807627,20
"6070295880",2019.00014204369,153.595458843305,1.78035483594822,0.308547734777448,2.83775658243225,0.140772920037695,27
"6070299600",1958.81971200507,147.899426555556,0.395202420773446,0.591229950635706,2.82248843069797,-0.132890865036049,9
"6070299890",295.270536462913,147.926034833333,0.39513158460571,0.141201532011475,3.0766773064325,0.931428204226648,4
"6070299900",1434.67626167083,150.258238492137,-0.239859067255853,0.24203204749641,2.88708073226456,1.44188557702521,47
"6070331250",1533.54666328261,146.920212029598,-0.909413603504847,0.241153384518259,2.84201368797515,1.31798688264107,44
"6070331260",1585.9350500206,148.211854628227,0.150373808701162,0.277362830156694,2.87669195717861,1.31195641831768,84
"6070339020",2008.23742179683,135.336929155844,0.491889909063455,0.501293088984872,2.62213527838066,-0.676621892772971,22
"6070344380",2721.9723349844,135.753558914286,-2.63692428223686,0.688638824747745,2.58625787819495,-1.81406105971238,15
"6070344540",1649.82106801725,145.099113836594,-1.1264834729691,0.293751440567272,2.8971868878097,-0.669299703542407,62
"6070344660",1181.78935238552,154.448166833333,0.755409301861393,0.307934718051423,2.93175720710074,0.248731544652659,16
"6070345000",1798.4246600779,142.668378247449,-0.676761070544046,0.338058861632189,2.72842349393807,-0.741610779443331,49
"6070345180",2052.60339804314,142.842342013788,-1.85818822073486,0.353028279653244,2.79032540583457,-1.65773377540134,53
"6070345840",1306.72533115783,151.479295923077,0.973650842230754,0.185809462854498,2.93144738598657,1.13013693977835,14
"6070350740",1641.24187707282,146.473053832258,0.0200847287309942,0.234609857237419,2.80722444551377,0.837348792541402,31
"6070350910",1579.67848723996,149.063873092437,-0.391533783733851,0.274381685977026,2.83139146432262,0.0747987049531635,35
"6070351360",1826.14086937901,141.775852263547,-0.768208276967671,0.314706550330829,2.74084513036067,-0.413099683131632,29
"6070352310",1513.01698693726,149.519035612648,0.230058730096859,0.330575942551801,2.83640572755482,-0.256965865786368,23
"6070353500",1558.23915820205,147.992383688889,-1.05897479190345,0.323251249640524,2.76515953969384,-0.560110054537457,36
"6070353510",1668.83364935852,147.169915147727,-0.412309266432509,0.27371211693991,2.83268248113119,0.622687908095742,33
"6070354680",1775.2921751069,145.410111243752,-0.98472282673147,0.252988657118657,2.86833449487178,0.790145847083651,79
"6070354790",1280.62914892191,152.317669878184,1.03691928057051,0.238903689971242,2.89797165282961,1.14068441929101,43
"6070356100",1801.83129360626,145.473470606061,-0.356544028708468,0.390628584987345,2.80036273840917,-1.10249338082032,22
"6070356350",2036.62006696455,133.158399790514,-0.691951823880144,0.409537480320209,2.55378661035027,-1.21371926475395,23
"6070361000",1743.3005412255,142.146946869565,1.05277148612035,0.364800616866175,2.79022446132201,-0.734371181689515,47
"6070363800",1598.11872321558,144.533754351351,-0.452151894232857,0.257247929292437,2.84777750668555,1.09530479426517,38
"6070363920",1716.4675032902,144.567213605541,-2.33768494584638,0.316299823392225,2.81829375822541,-0.369040071458912,82
"6070365280",1139.04983694354,154.741572026316,1.80325420780076,0.232217930107942,2.96307836120379,0.788113352360114,20
"6070365400",2003.49686257773,133.460529977058,-0.713642162458057,0.305552081571315,2.79153336093986,0.392876124342808,39
"6070367030",1554.57142812958,146.940669746799,0.881916887399542,0.327572621964053,2.79684958688858,-0.0767494851517048,38
"6070368300",1565.44504000198,145.404616944149,-1.17475792538037,0.289749597055438,2.847213333495,0.170971830688758,48
"6070368450",1859.18194528852,148.222309469841,0.924777769940076,0.324383082244841,2.78987889964665,-0.570584979674819,36
"6070369020",1756.93131704925,145.051893353107,-1.48829400497757,0.315144848891565,2.76764272387072,-0.547812478357435,60
"6070369270",1521.67107729969,147.477192185859,-0.926954258697718,0.278980181044473,2.84887458405945,0.472523170080505,45
"6070369550",1999.75256242457,129.648504790769,-0.0669192559789285,0.460152977397454,2.62004846111861,-1.35313373943084,26
"6070369560",2029.87407874772,142.518898056738,0.457448160401162,0.32935311157519,2.73255935277587,-0.28765462725215,48
"6070370850",1626.90048796953,146.235155446857,0.303425275815443,0.268078362073231,2.88193595780581,0.722784415661077,67
"6070375350",1431.98968886902,150.58585537479,-0.211538824875421,0.274180713026308,2.9329859207075,0.11623806266647,35
"6070375520",1761.81253765851,145.976884452072,0.168793399497355,0.342306311057281,2.77938648959348,-0.12939885873083,99
"6070379950",1748.42694683873,147.236496824139,0.235438650986969,0.335404580500265,2.83626035839192,0.306188742887718,74
"6070379960",1510.02434032467,147.478391267196,-0.112602739701934,0.306969566287761,2.85826183676752,-0.152078041489531,28
"6070381100",2082.10769198974,139.332932275362,-0.589181753506891,0.343068771700391,2.77929997032313,0.127201357679418,24
"6070382740",2325.31817437942,138.5416324,-0.495249104148547,0.397461529251875,2.7924579061285,-0.52642564428948,15
"6070382840",1577.26105547345,146.331806404612,-2.39944316134476,0.257783891846802,2.84414434063452,0.652361908224168,54
"6070384890",2007.12057698122,146.884993367677,-0.813291944724007,0.351629268075963,2.76025535493204,-0.39364571943587,45
"6070384900",1556.17301254794,143.090908300493,-0.585243312002408,0.342931593797246,2.89818069574335,-0.398336651344114,29
"6070390310",1900.20332852452,149.180141679739,0.453126590749014,0.234730519132878,2.7527224694956,0.516865834018631,18
"6070390420",2025.0678762034,139.731849992271,1.34397237386598,0.364505625912163,2.70698965066041,0.207105285505137,46
"6070408150",1550.41726466579,151.813323961905,1.38113357997052,0.184251290269938,2.8408109668412,1.12310073474473,15
"6070413730",827.150724941021,160.471776952381,1.84972044865,0.125939056473385,3.02206086726838,1.02317768271816,7
"6070422090",2336.14323631439,133.2481195,-1.15965004059165,0.554793061495776,2.51937159751061,-1.34950421095502,12
"6070429150",1811.37125153677,140.399779922222,0.392327288933788,0.330386228788363,2.72762325314115,-0.300782941918113,45
"6070430430",1353.75686891582,149.618165826667,0.956527576906827,0.246180859931233,2.90564950558558,1.36041865274893,25
"6070451380",1695.31647128738,144.981872763088,-0.841477287651808,0.35850843572427,2.77227949130054,-0.935914291412887,62
"6070459050",1773.27025903466,148.221347650518,0.0401838089784848,0.362452781769059,2.8442192614228,-1.17714286031326,70
"6070459180",1479.31434010053,149.815949916923,1.15346376610924,0.239355485618994,2.85192773520548,1.69925452917108,26
"6070465340",1712.23451904845,147.250761902282,-0.585159604053589,0.30110752218585,2.83215787956531,0.39394081507453,64
"6070467970",1679.57722762003,146.092196487773,-1.20977594663697,0.278404763734972,2.84439801737906,1.76648546334125,112
"6070474520",1610.60807014429,130.529641390476,0.204379768465636,0.376950536260308,2.65989681040372,-0.130284789102557,21
"6070480090",2227.39915453877,121.416465038462,-0.666583169140744,0.839113088436787,2.42746688058266,-2.24706099389623,13
"6070480100",1530.82238573646,151.436520487013,1.23496280070475,0.375346613940969,2.83474045381818,-1.36830398805142,56
"6070483360",2251.24843045919,128.301086905983,-2.25273315199995,0.29668930996185,2.65594447547907,-0.487580271151827,27
"6070483570",1791.88428264281,145.110765577778,-1.42334179919479,0.348911632024395,2.82411448777066,-0.758854538654947,81
"6070486490",1969.08220313096,136.021573557895,-0.482070215958456,0.394350918726866,2.77907604679341,-0.699458792407876,20
"6070486650",1984.8974355127,135.32672698913,-1.06963796855436,0.312101294819415,2.70369024678147,-0.282849345324136,24
